LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
29.650478,76.368083,-7,-46.4,9.245409
30.5568,76.939821,-6.6,-45.7,7.148643
29.871211,77.116619,-8.6,-59.4,9.224542
29.902187,76.605167,-6.9,-52.6,2.733224
30.090885,76.611247,-6,-43.3,4.804799
29.859722,76.37,-6.9,-41.3,14.091634
30.119668,76.873537,-5.4,-41.3,2.215649
30.131873,77.125497,-5.8,-43.9,2.608006
30.112762,77.365102,-9.1,-62.2,10.714269
29.633194,76.216057,-10.1,-68.8,11.646584
29.888356,76.353938,-5.8,-47.4,-1.390253
29.888356,76.353938,-5.1,-37.5,3.544955
30.119668,76.873537,-6.2,-44.7,4.735262
30.5568,76.939821,-6.6,-47.2,5.312185
29.650478,76.368083,-6.7,-41.5,12.411308
29.871211,77.116619,-9.3,-63.1,11.667097
29.902187,76.605167,-6.5,-38.6,13.064156
30.090885,76.611247,-6,-38.9,9.333523
30.112762,77.365102,-9.2,-62.6,10.958487
30.131873,77.125497,-6.4,-42.9,8.083209
29.633194,76.216057,-6.2,-38,11.432092
29.650478,76.368083,-7.2,-47.3,10.439358
29.409525,75.12097,-5.6,-43.2,1.871105
29.871211,77.116619,-9.2,-60.7,12.716591
29.902187,76.605167,-6.7,-37.7,16.262134
30.090885,76.611247,-6.1,-33.9,14.660934
29.888356,76.353938,-7,-40.4,15.542373
30.119668,76.873537,-6.4,-44.5,6.520832
29.642204,76.911578,-6,-33.1,15.317123
30.131873,77.125497,-9,-59.4,12.855337
29.633194,76.216057,-6.1,-41.1,7.663733
